Name,Currency,Price,Qty,Avg Price,ISIN,Ticker
Dimensional EM Core Equity Acc (ESG Screened),GBP,89.73,576,83.6602,GB0033772624,0P00000T9I.L
Dimensional Short-Dated Bond Acc,GBP,17.2,3573,12.6317,GB0033772848,0P00000TCK.L
Dimensional Short-Dated Bond Acc,GBP,11.31,4041,12.2005,GB0033772731,0P00000TCY.L
BlackRock ICS Euro Liq Core,EUR,148.6,338,60.9959,IE0005023910,0P0000247G.F
BlackRock ICS Sterling Liquidity,GBP,1.0,23602,1.163,IE0004806687,0P000024Y9.L
BlackRock ICS Sterling Liq Core,GBP,201.95,278,140.8893,IE0004807107,0P000024YA.L
BlackRock ICS US Dollar Liquidity,USD,1.0,102344,0.3472,IE0004809582,0P0000258M
BlackRock ICS USD Liq Core,USD,184.28,626,171.3249,IE0004810143,0P0000258N
Dimensional ICVC UK Core Equity,GBP,41.03,876,33.9434,GB00B15JMH94,0P00006CHT.L
Dimensional Intl Core Equity Acc,GBP,62.53,475,28.4821,GB00B23YLH62,0P0000AAB8.L
Dimensional Global Core Equity Fund USD Acc,USD,48.41,2103,26.0209,IE00B2PC0153,0P0000J29S
Vanguard EM Stock Index Acc,GBP,412.55,135,295.2917,IE00B50MZ724,0P0000KM22.L
Dimensional Global Small Co Acc,USD,35.05,2437,33.802,IE00B3MRDK01,0P0000TH0L
Dimensional Global Small Co Acc,EUR,43.76,650,30.4805,IE00B67WB637,0P0000TH0M.F
Dimensional Global Small Co Acc,GBP,41.59,1468,35.9687,IE00B67QQ264,0P0000TH0O.L
LifeStrategy 20% Equity Fund (Acc),GBP,180.79,236,205.168,GB00B4NXY349,0P0000TKZG.L
LifeStrategy 40% Equity Fund (Acc),GBP,232.05,210,279.067,GB00B3ZHN960,0P0000TKZI.L
LifeStrategy 60% Equity Fund (Acc),GBP,301.97,190,160.0268,GB00B3TYHH97,0P0000TKZK.L
